Date,Hour,Consumption 
2021-05-14,7,21312.5
2021-05-14,8,23220.08
2021-05-14,9,25072.43
2021-05-14,10,26785.37
2021-05-14,11,27992.52
2021-05-14,12,28388.15
2021-05-14,13,28473.31
2021-05-14,14,28306.64
2021-05-14,15,27851.46
2021-05-14,16,27609
2021-05-14,17,27428.4
2021-05-14,18,27494.39
2021-05-14,19,28328.47
2021-05-14,20,30155.15
2021-05-14,21,29836.16
2021-05-14,22,29050.9
2021-05-14,23,28082.85
2021-05-15,0,26722.49
2021-05-15,1,25512.62
2021-05-15,2,24372.96
2021-05-15,3,23785.45
2021-05-15,4,23424.77
2021-05-15,5,22421.32
2021-05-15,6,21572.3
2021-05-15,7,22424.35
2021-05-15,8,24443.64
2021-05-15,9,26090.61
2021-05-15,10,27753.37
2021-05-15,11,29002.8
2021-05-15,12,29418.91
2021-05-15,13,29849.84
2021-05-15,14,29739.28
2021-05-15,15,29220.14
2021-05-15,16,28766.11
2021-05-15,17,28635.63
2021-05-15,18,28831.86
2021-05-15,19,29437.8
2021-05-15,20,31388.57
2021-05-15,21,30830.89
2021-05-15,22,29978.43
2021-05-15,23,28964.74
2021-05-16,0,27721.51
2021-05-16,1,26422.26
2021-05-16,2,25326.96
2021-05-16,3,24599.47
2021-05-16,4,24256.93
2021-05-16,5,23168.72
2021-05-16,6,22320.93
2021-05-16,7,23360.2
2021-05-16,8,25144.83
2021-05-16,9,26831.44
2021-05-16,10,28721.27
2021-05-16,11,29903.87
2021-05-16,12,30319.47
2021-05-16,13,30867.99
2021-05-16,14,31014.92
2021-05-16,15,30559.88
2021-05-16,16,30114.21
2021-05-16,17,29784.15
2021-05-16,18,29768.13
2021-05-16,19,30680.66
2021-05-16,20,32558.25
2021-05-16,21,32135.67
2021-05-16,22,31547.21
2021-05-16,23,30506.76
2021-05-17,0,29094.42
2021-05-17,1,28019.28
2021-05-17,2,26981.23
2021-05-17,3,26258.86
2021-05-17,4,26106.86
2021-05-17,5,25387.77
2021-05-17,6,25151.78
2021-05-17,7,27782.05
2021-05-17,8,33524.76
2021-05-17,9,36641.9
2021-05-17,10,38324.97
2021-05-17,11,39512.31
2021-05-17,12,38339.77
2021-05-17,13,38784.85
2021-05-17,14,39233.98
2021-05-17,15,38564.04
2021-05-17,16,38072.72
2021-05-17,17,37199.62
2021-05-17,18,36030.27
2021-05-17,19,36269.87
2021-05-17,20,37533.79
2021-05-17,21,37213.47
2021-05-17,22,36248.84
2021-05-17,23,34964.66
2021-05-18,0,33376.8
2021-05-18,1,31810.99
2021-05-18,2,30657.91
2021-05-18,3,29937.87
2021-05-18,4,29593.62
2021-05-18,5,28813.94
2021-05-18,6,28540.39
2021-05-18,7,30533.36
2021-05-18,8,35034.02
2021-05-18,9,38298.67
2021-05-18,10,39588.06
2021-05-18,11,40686.16
2021-05-18,12,39471.75
2021-05-18,13,39930.72
2021-05-18,14,40224.68
2021-05-18,15,39796.01
2021-05-18,16,39082.37
2021-05-18,17,38211.75
2021-05-18,18,36930.25
2021-05-18,19,37040.13
2021-05-18,20,38129.94
2021-05-18,21,37653.96
2021-05-18,22,36632.51
2021-05-18,23,35137.07
2021-05-19,0,33345.15
2021-05-19,1,31715.6
2021-05-19,2,30607.83
2021-05-19,3,29618.65
2021-05-19,4,29306.34
2021-05-19,5,28560.95
2021-05-19,6,28112.67
2021-05-19,7,29360.1
2021-05-19,8,33309.14
2021-05-19,9,36069.75
2021-05-19,10,37563.72
2021-05-19,11,38564.9
2021-05-19,12,37710.18
2021-05-19,13,37948.52
2021-05-19,14,38392.65
2021-05-19,15,37705.16
2021-05-19,16,37397.45
2021-05-19,17,36615.53
2021-05-19,18,35979.71
2021-05-19,19,36232.92
2021-05-19,20,37286.68
2021-05-19,21,37120.06
2021-05-19,22,36409.89
2021-05-19,23,34814.69
